index,identifiers,gc,length,acti_mapped.sorted_cov,bestsumorder_phylum
0,ENA_WAHB01000001_WAHB01000001.1,0.3658,1055466,235.9555,Cnidaria
1,ENA_WAHB01000002_WAHB01000002.1,0.3717,829174,242.7229,Cnidaria
2,ENA_WAHB01000003_WAHB01000003.1,0.3729,822339,240.8218,Cnidaria
3,ENA_WAHB01000004_WAHB01000004.1,0.3738,816510,284.1467,Cnidaria
4,ENA_WAHB01000005_WAHB01000005.1,0.3703,742871,239.5334,Cnidaria
5,ENA_WAHB01000006_WAHB01000006.1,0.3729,740399,259.1545,Cnidaria
6,ENA_WAHB01000007_WAHB01000007.1,0.3685,710820,230.8624,Cnidaria
7,ENA_WAHB01000008_WAHB01000008.1,0.3683,707477,250.166,Cnidaria
8,ENA_WAHB01000009_WAHB01000009.1,0.3706,706245,234.5612,Cnidaria
9,ENA_WAHB01000010_WAHB01000010.1,0.3628,684906,212.8945,Cnidaria
10,ENA_WAHB01000011_WAHB01000011.1,0.377,658210,281.616,Cnidaria
11,ENA_WAHB01000012_WAHB01000012.1,0.3718,652785,240.6423,Cnidaria
12,ENA_WAHB01000013_WAHB01000013.1,0.3691,619802,235.7657,Cnidaria
13,ENA_WAHB01000014_WAHB01000014.1,0.3687,620450,252.5614,Cnidaria
14,ENA_WAHB01000015_WAHB01000015.1,0.3721,608347,237.4934,Cnidaria
15,ENA_WAHB01000016_WAHB01000016.1,0.3702,601569,221.4681,Chordata
16,ENA_WAHB01000017_WAHB01000017.1,0.3728,595559,232.9395,Cnidaria
17,ENA_WAHB01000018_WAHB01000018.1,0.366,586115,239.5892,Cnidaria
18,ENA_WAHB01000019_WAHB01000019.1,0.3693,583805,264.8775,Hemichordata
19,ENA_WAHB01000020_WAHB01000020.1,0.371,579151,235.1104,Cnidaria
20,ENA_WAHB01000021_WAHB01000021.1,0.3717,562480,250.7294,Cnidaria
21,ENA_WAHB01000022_WAHB01000022.1,0.3664,551823,217.4509,Cnidaria
22,ENA_WAHB01000023_WAHB01000023.1,0.3728,529753,261.3381,Cnidaria
23,ENA_WAHB01000024_WAHB01000024.1,0.3759,527521,266.7854,Arthropoda
24,ENA_WAHB01000025_WAHB01000025.1,0.3741,532681,233.6939,Cnidaria
25,ENA_WAHB01000026_WAHB01000026.1,0.3678,523045,243.6677,Cnidaria
26,ENA_WAHB01000027_WAHB01000027.1,0.3766,519175,254.5211,Chordata
27,ENA_WAHB01000028_WAHB01000028.1,0.3725,525011,240.5125,Cnidaria
28,ENA_WAHB01000029_WAHB01000029.1,0.3728,513609,253.6375,Cnidaria
29,ENA_WAHB01000030_WAHB01000030.1,0.3688,515316,219.4865,Cnidaria
30,ENA_WAHB01000031_WAHB01000031.1,0.3748,499096,236.9818,Chordata
31,ENA_WAHB01000032_WAHB01000032.1,0.3666,480832,253.2357,Cnidaria
32,ENA_WAHB01000033_WAHB01000033.1,0.3747,483010,230.3002,Cnidaria
33,ENA_WAHB01000034_WAHB01000034.1,0.3693,484469,250.0366,Brachiopoda
34,ENA_WAHB01000035_WAHB01000035.1,0.3747,479310,246.9145,Cnidaria
35,ENA_WAHB01000036_WAHB01000036.1,0.3685,476562,252.9487,Cnidaria
36,ENA_WAHB01000037_WAHB01000037.1,0.3707,483034,250.3566,Cnidaria
37,ENA_WAHB01000038_WAHB01000038.1,0.3761,476191,236.7132,Cnidaria
38,ENA_WAHB01000039_WAHB01000039.1,0.3741,473528,249.1431,Cnidaria
39,ENA_WAHB01000040_WAHB01000040.1,0.359,468896,244.7916,Cnidaria
40,ENA_WAHB01000041_WAHB01000041.1,0.3644,464626,284.4661,Cnidaria
41,ENA_WAHB01000042_WAHB01000042.1,0.3759,467495,251.0354,Cnidaria
42,ENA_WAHB01000043_WAHB01000043.1,0.3712,466374,230.219,Cnidaria
43,ENA_WAHB01000044_WAHB01000044.1,0.3688,460456,286.323,Cnidaria
44,ENA_WAHB01000045_WAHB01000045.1,0.3734,455806,281.569,Cnidaria
45,ENA_WAHB01000046_WAHB01000046.1,0.3713,457615,268.0477,Cnidaria
46,ENA_WAHB01000047_WAHB01000047.1,0.3744,464720,259.0825,Echinodermata
47,ENA_WAHB01000048_WAHB01000048.1,0.3753,448683,249.9901,Cnidaria
48,ENA_WAHB01000049_WAHB01000049.1,0.3676,454363,223.6157,Cnidaria
49,ENA_WAHB01000050_WAHB01000050.1,0.3647,444233,230.2872,Cnidaria
50,ENA_WAHB01000051_WAHB01000051.1,0.3788,445475,238.0687,Cnidaria
51,ENA_WAHB01000052_WAHB01000052.1,0.3703,443655,235.7262,Cnidaria
52,ENA_WAHB01000053_WAHB01000053.1,0.3719,450001,254.9725,Cnidaria
53,ENA_WAHB01000054_WAHB01000054.1,0.3659,438285,232.6548,Cnidaria
54,ENA_WAHB01000055_WAHB01000055.1,0.3729,434383,253.313,Chordata
55,ENA_WAHB01000056_WAHB01000056.1,0.3714,437356,244.7314,Cnidaria
56,ENA_WAHB01000057_WAHB01000057.1,0.3695,431438,232.9609,Cnidaria
57,ENA_WAHB01000058_WAHB01000058.1,0.3724,428586,325.8467,Cnidaria
58,ENA_WAHB01000059_WAHB01000059.1,0.3719,435652,274.8143,Cnidaria
59,ENA_WAHB01000060_WAHB01000060.1,0.3735,434184,247.1239,Cnidaria
60,ENA_WAHB01000061_WAHB01000061.1,0.3725,429787,232.1733,Cnidaria
61,ENA_WAHB01000062_WAHB01000062.1,0.3704,420877,245.1476,Chordata
62,ENA_WAHB01000063_WAHB01000063.1,0.3725,418942,249.3682,Cnidaria
63,ENA_WAHB01000064_WAHB01000064.1,0.3669,412955,213.0201,Cnidaria
64,ENA_WAHB01000065_WAHB01000065.1,0.3846,417634,303.1863,Cnidaria
65,ENA_WAHB01000066_WAHB01000066.1,0.3692,410864,241.1586,Cnidaria
66,ENA_WAHB01000067_WAHB01000067.1,0.3723,404463,228.9905,Cnidaria
67,ENA_WAHB01000068_WAHB01000068.1,0.3721,402426,255.25,Cnidaria
