class_unclass,contig_name,taxon,length,kmers
C,ENA_ABAV01000148_ABAV01000148.1,Pandoraea oxalativorans (taxid 573737),12303,0:290 573737:1 0:994 9606:4 0:112 9606:4 131567:2 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 1192854:1 1224:5 80840:1 0:9403 9606:96 0:1219
C,ENA_ABAV01000310_ABAV01000310.1,cellular organisms (taxid 131567),10228,A:1 0:1669 9606:2 0:401 386415:2 0:8119
C,ENA_ABAV01000479_ABAV01000479.1,Streptomyces sp. TLI_053 (taxid 1855352),23069,0:721 1855352:5 0:155 1855352:5 0:27 1855352:5 0:13561 9606:5 0:3502 9606:6 0:74 36745:7 0:2005 9606:2 0:2955
C,ENA_ABAV01000507_ABAV01000507.1,Streptococcus dysgalactiae subsp. equisimilis (taxid 119602),3767,0:773 119602:5 0:1609 9606:4 0:1342
C,ENA_ABAV01000535_ABAV01000535.1,Rhodobacteraceae bacterium (taxid 1904441),22606,0:5819 1261031:2 0:10583 1904441:5 0:6163
C,ENA_ABAV01000560_ABAV01000560.1,Spiroplasma cantharicola (taxid 362837),15591,0:1450 1930532:3 0:1841 362837:5 0:12258
C,ENA_ABAV01000583_ABAV01000583.1,Fusobacterium periodonticum (taxid 860),28402,A:9 0:1040 9606:1 0:1881 9606:1 0:12352 860:5 0:13079
C,ENA_ABAV01000648_ABAV01000648.1,cellular organisms (taxid 131567),13399,0:9641 9606:3 0:3161 1356852:3 0:557
C,ENA_ABAV01000701_ABAV01000701.1,Paraburkholderia caribensis MBA4 (taxid 1323664),24471,0:10987 9606:1 0:596 9606:1 0:9687 1323664:5 0:3160
C,ENA_ABAV01000766_ABAV01000766.1,Thermodesulfobium acidiphilum (taxid 1794699),2058,0:1463 9606:1 0:126 1794699:5 0:339 A:34 0:56
C,ENA_ABAV01000787_ABAV01000787.1,other sequences (taxid 28384),1121,1:143 28384:26 1:248 28384:34 1:4 0:632
C,ENA_ABAV01000806_ABAV01000806.1,Bacillus cereus group (taxid 86661),8650,0:902 9606:1 0:2933 86661:2 0:4778
C,ENA_ABAV01000807_ABAV01000807.1,Enterococcus hirae (taxid 1354),18560,0:5935 1354:5 0:1991 9606:1 0:10594
C,ENA_ABAV01000849_ABAV01000849.1,Enterococcus hirae (taxid 1354),16896,0:2795 996:1 0:4781 1354:2 0:9283
C,ENA_ABAV01000851_ABAV01000851.1,Bacteria (taxid 2),14161,0:7882 1428:5 0:2171 1454201:5 0:4064
C,ENA_ABAV01000874_ABAV01000874.1,Rhodobacter sphaeroides (taxid 1063),15612,0:5479 9606:2 0:3005 9606:1 0:4744 1063:5 0:2342
C,ENA_ABAV01000888_ABAV01000888.1,Flavobacterium faecale (taxid 1355330),19607,0:17268 1913652:2 0:623 1355330:3 0:1677
C,ENA_ABAV01000898_ABAV01000898.1,Yersinia pseudotuberculosis complex (taxid 1649845),3395,0:1412 1954172:1 2:5 0:9 1303:2 0:1926 1649845:3 0:3
C,ENA_ABAV01000899_ABAV01000899.1,Gammaproteobacteria (taxid 1236),9364,0:296 1954172:1 2:5 0:9 1303:2 0:981 1649845:3 0:3744 9606:5 0:1473 1004788:3 0:2808
C,ENA_ABAV01000946_ABAV01000946.1,Corynebacteriales (taxid 85007),16348,0:376 9606:5 0:14768 85007:5 0:3 2:4 0:1153
C,ENA_ABAV01001035_ABAV01001035.1,Streptococcus salivarius (taxid 1304),5871,0:108 A:35 0:4170 1304:5 0:179 1304:5 0:78 1304:5 0:49 1304:5 0:23 1304:5 0:23 1304:5 0:217 1304:5 0:23 1304:5 0:47 1304:5 0:23 1304:5 0:217 1304:5 0:23 1304:5 0:23 1304:5 0:218 1304:5 0:23 1304:5 0:78 1304:5 0:200
C,ENA_ABAV01001071_ABAV01001071.1,Clostridium botulinum (taxid 1491),1154,0:605 526973:4 0:5 1239:4 0:2 131567:5 0:127 526969:5 131567:49 0:10 131567:1 0:29 131567:1 0:11 131567:5 0:10 131567:2 0:52 131567:5 0:1 1491:1 0:3 1491:5 0:69 9606:4 0:64 1491:5 0:24 1239:1 0:1 1239:5 0:3 1239:1 0:1
C,ENA_ABAV01001085_ABAV01001085.1,other sequences (taxid 28384),1201,1:49 0:22 1:62 28384:15 1:162 28384:35 1:32 0:446 1:4 28384:34 1:248 28384:8 0:20 1:5 0:2 1:23
C,ENA_ABAV01001087_ABAV01001087.1,Gammaproteobacteria (taxid 1236),28757,0:9416 323261:5 0:4405 167879:5 0:1773 9606:2 0:13117
C,ENA_ABAV01001200_ABAV01001200.1,cellular organisms (taxid 131567),11495,0:7385 743722:1 0:2688 9606:1 0:1386
C,ENA_ABAV01001202_ABAV01001202.1,Pseudomonas fluorescens WH6 (taxid 746360),8017,0:276 746360:3 0:658 1760:2 0:7044
C,ENA_ABAV01001227_ABAV01001227.1,Gammaproteobacteria (taxid 1236),26517,0:1137 9606:1 0:1867 575788:5 0:3572 2072408:5 0:19896
C,ENA_ABAV01001242_ABAV01001242.1,Pseudomonas alcaligenes (taxid 43263),12668,0:768 62977:3 0:9002 43263:5 0:2856
C,ENA_ABAV01001262_ABAV01001262.1,Vibrio parahaemolyticus (taxid 670),3417,0:767 9606:1 0:2107 670:4 0:504
C,ENA_ABAV01001263_ABAV01001263.1,Vibrio parahaemolyticus (taxid 670),9350,0:423 9606:1 0:1017 670:4 0:7711 9606:2 0:158
C,ENA_ABAV01001280_ABAV01001280.1,Bacillus cereus m1293 (taxid 526973),9231,0:9176 131567:3 526973:5 131567:13
C,ENA_ABAV01001312_ABAV01001312.1,cellular organisms (taxid 131567),23264,0:9091 147467:1 0:4794 9606:1 0:9343
C,ENA_ABAV01001349_ABAV01001349.1,Oceanobacillus iheyensis (taxid 182710),1334,0:230 9606:1 0:834 182710:5 0:230
C,ENA_ABAV01001351_ABAV01001351.1,Oceanobacillus iheyensis (taxid 182710),18703,0:4724 182710:5 0:12494 9606:1 0:8 9606:2 0:1435
C,ENA_ABAV01001368_ABAV01001368.1,cellular organisms (taxid 131567),2354,A:11 0:86 1945892:3 0:1549 9606:3 0:668
C,ENA_ABAV01001386_ABAV01001386.1,Bacillus cereus m1293 (taxid 526973),1557,0:1465 526973:23 131567:26 0:9
C,ENA_ABAV01001420_ABAV01001420.1,Variovorax paradoxus EPS (taxid 595537),7788,0:1841 9606:3 0:4648 294:1 595537:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 131567:1 80840:5 69:1 0:1195
C,ENA_ABAV01001473_ABAV01001473.1,Alphaproteobacteria (taxid 28211),32352,0:1382 985002:2 0:4738 666509:5 0:2685 9606:3 0:7209 395491:5 0:1665 2009329:1 0:14623
C,ENA_ABAV01001630_ABAV01001630.1,cellular organisms (taxid 131567),4990,0:3266 9606:5 0:631 1396:5 0:1049
C,ENA_ABAV01001631_ABAV01001631.1,cellular organisms (taxid 131567),8097,0:670 1396:5 0:4451 9606:5 0:2932
C,ENA_ABAV01001704_ABAV01001704.1,cellular organisms (taxid 131567),7399,0:3613 9606:5 0:254 1903686:5 0:3488
C,ENA_ABAV01001715_ABAV01001715.1,Scytonema sp. NIES-4073 (taxid 2005464),29049,0:1478 2005464:5 0:6280 316275:3 0:21230 A:19 
C,ENA_ABAV01001738_ABAV01001738.1,Hydrogenophaga sp. RAC07 (taxid 1842537),17335,0:9728 253:1 0:2837 1091494:2 0:1828 9606:2 0:1919 1842537:5 0:979
C,ENA_ABAV01001779_ABAV01001779.1,Shewanella frigidimarina NCIMB 400 (taxid 318167),15942,0:7 A:73 0:3222 318167:5 0:9202 9606:4 0:3395
C,ENA_ABAV01001800_ABAV01001800.1,Bacillus cereus m1293 (taxid 526973),5132,A:32 0:621 686597:2 0:2281 526973:5 0:4 526973:5 0:2148
C,ENA_ABAV01001836_ABAV01001836.1,Oceanobacillus iheyensis (taxid 182710),9665,0:4076 182710:5 0:2031 9606:1 0:3518
C,ENA_ABAV01001838_ABAV01001838.1,Bacteria (taxid 2),28387,0:1090 1423:5 0:7115 38293:5 0:4521 983544:1 0:6874 9606:1 0:6481 9606:3 0:2257
C,ENA_ABAV01001856_ABAV01001856.1,Clostridium botulinum (taxid 1491),1154,0:89 1239:1 0:3 1239:5 0:1 1239:1 0:24 1491:5 0:991
C,ENA_ABAV01001953_ABAV01001953.1,Citrobacter rodentium ICC168 (taxid 637910),1683,0:489 637910:4 0:346 9606:1 0:809
C,ENA_ABAV01002019_ABAV01002019.1,Clostridium beijerinckii NRRL B-598 (taxid 1428454),10922,0:10815 1428454:5 0:24 1428454:2 0:42
C,ENA_ABAV01002037_ABAV01002037.1,Nocardiopsis alba ATCC BAA-2165 (taxid 1205910),19265,0:8234 1205910:5 0:3159 76123:1 0:7832
C,ENA_ABAV01002118_ABAV01002118.1,cellular organisms (taxid 131567),11562,0:6756 570:2 0:2724 9606:2 0:2044
C,ENA_ABAV01002227_ABAV01002227.1,Citrobacter werkmanii (taxid 67827),5565,0:1251 9606:2 0:3881 67827:4 0:393
C,ENA_ABAV01002332_ABAV01002332.1,Bacillus cereus m1550 (taxid 526969),1319,0:135 131567:2 0:10 131567:5 0:11 131567:1 0:45 131567:3 0:5 131567:36 526969:5 0:1027
C,ENA_ABAV01002342_ABAV01002342.1,cellular organisms (taxid 131567),31788,0:16226 637910:4 0:15504 9606:4 0:16
C,ENA_ABAV01002384_ABAV01002384.1,Variovorax paradoxus S110 (taxid 543728),1035,0:56 9606:1 0:9 9606:1 0:432 543728:3 0:499
C,ENA_ABAV01002385_ABAV01002385.1,Variovorax paradoxus S110 (taxid 543728),7494,0:891 658445:2 0:665 543728:3 0:5899
C,ENA_ABAV01002393_ABAV01002393.1,cellular organisms (taxid 131567),8389,0:121 9606:5 0:1508 743299:5 0:6716
C,ENA_ABAV01002447_ABAV01002447.1,Oceanobacillus iheyensis (taxid 182710),1515,0:618 182710:5 0:542 1236:3 0:313
C,ENA_ABAV01002513_ABAV01002513.1,cellular organisms (taxid 131567),47668,0:9256 746360:3 0:19050 9606:2 0:1 9606:1 0:19321
C,ENA_ABAV01002533_ABAV01002533.1,Bacteria (taxid 2),10867,A:27 0:37 1816219:3 0:2843 107401:3 0:5970 9606:1 0:1949
C,ENA_ABAV01002536_ABAV01002536.1,Niastella koreensis GR20-10 (taxid 700598),38848,0:9534 700598:5 0:1627 9606:1 0:27647
C,ENA_ABAV01002553_ABAV01002553.1,Proteobacteria (taxid 1224),63096,0:17121 1620215:1 0:4106 1002804:1 0:41833
C,ENA_ABAV01002560_ABAV01002560.1,Micromonospora chokoriensis (taxid 356851),49717,0:3114 446:3 0:1830 2079596:3 0:7560 356851:5 0:687 9606:1 0:22298 909768:4 0:14178
C,ENA_ABAV01002687_ABAV01002687.1,Aquifex aeolicus VF5 (taxid 224324),22787,0:14856 224324:5 0:7594 9606:4 0:294
C,ENA_ABAV01002748_ABAV01002748.1,cellular organisms (taxid 131567),28446,0:7754 9606:4 0:13260 1835254:4 0:7390
